pid,author_id,author_name,position,affiliation
oa:W3138516171,,Ze Liu,1,
oa:W3138516171,,Yutong Lin,2,
oa:W3138516171,,Yue Cao,3,
oa:W3138516171,,Han Hu,4,
oa:W3138516171,,Yixuan Wei,5,
oa:W3138516171,,Zheng Zhang,6,
oa:W3138516171,,Stephen Lin,7,
oa:W3138516171,,Baining Guo,8,
oa:W3094502228,,Alexey Dosovitskiy,1,
oa:W3094502228,,Lucas Beyer,2,
oa:W3094502228,,Alexander Kolesnikov,3,
oa:W3094502228,,Dirk Weissenborn,4,
oa:W3094502228,,Xiaohua Zhai,5,
oa:W3094502228,,Thomas Unterthiner,6,
oa:W3094502228,,Mostafa Dehghani,7,
oa:W3094502228,,Matthias Minderer,8,
oa:W3094502228,,Georg Heigold,9,
oa:W3094502228,,Sylvain Gelly,10,
oa:W3094502228,,Jakob Uszkoreit,11,
oa:W3094502228,,Neil Houlsby,12,
oa:W2979826702,,Thomas Wolf,1,
oa:W2979826702,,Lysandre Debut,2,
oa:W2979826702,,Victor Sanh,3,
oa:W2979826702,,Julien Chaumond,4,
oa:W2979826702,,Clément Delangue,5,
oa:W2979826702,,Anthony Moi,6,
oa:W2979826702,,Pierric Cistac,7,
oa:W2979826702,,Tim Rault,8,
oa:W2979826702,,Rémi Louf,9,
oa:W2979826702,,Morgan Funtowicz,10,
oa:W2979826702,,Joe Davison,11,
oa:W2979826702,,Sam Shleifer,12,
oa:W2979826702,,Patrick von Platen,13,
oa:W2979826702,,Clara Ma,14,
oa:W2979826702,,Yacine Jernite,15,
oa:W2979826702,,Julien Plu,16,
oa:W2979826702,,Canwen Xu,17,
oa:W2979826702,,Teven Le Scao,18,
oa:W2979826702,,Sylvain Gugger,19,
oa:W2979826702,,Mariama Drame,20,
oa:W2979826702,,Quentin Lhoest,21,
oa:W2979826702,,Alexander M. Rush,22,
oa:W4288089799,,Colin Raffel,1,
oa:W4288089799,,Noam Shazeer,2,
oa:W4288089799,,Adam Roberts,3,
oa:W4288089799,,Katherine Lee,4,
oa:W4288089799,,Sharan Narang,5,
oa:W4288089799,,Michael Matena,6,
oa:W4288089799,,Yanqi Zhou,7,
oa:W4288089799,,Wei Li,8,
oa:W4288089799,,Peter J. Liu,9,
oa:W3159481202,,Mathilde Caron,1,
oa:W3159481202,,Hugo Touvron,2,
oa:W3159481202,,Ishan Misra,3,
oa:W3159481202,,Hervé Jeǵou,4,
oa:W3159481202,,Julien Mairal,5,
oa:W3159481202,,Piotr Bojanowski,6,
oa:W3159481202,,Armand Joulin,7,
oa:W3207918547,,Jingyun Liang,1,
oa:W3207918547,,Jiezhang Cao,2,
oa:W3207918547,,Guolei Sun,3,
oa:W3207918547,,Kai Zhang,4,
oa:W3207918547,,Luc Van Gool,5,
oa:W3207918547,,Radu Timofte,6,
oa:W3177318507,,Haoyi Zhou,1,
oa:W3177318507,,Shanghang Zhang,2,
oa:W3177318507,,Jieqi Peng,3,
oa:W3177318507,,Shuai Zhang,4,
oa:W3177318507,,Jianxin Li,5,
oa:W3177318507,,Hui Xiong,6,
oa:W3177318507,,Wancai Zhang,7,
oa:W3131500599,,Wenhai Wang,1,
oa:W3131500599,,Enze Xie,2,
oa:W3131500599,,Xiang Li,3,
oa:W3131500599,,Deng-Ping Fan,4,
oa:W3131500599,,Kaitao Song,5,
oa:W3131500599,,Ding Liang,6,
oa:W3131500599,,Tong Lü,7,
oa:W3131500599,,Ping Luo,8,
oa:W3131500599,,Ling Shao,9,
oa:W3127751679,,Jieneng Chen,1,
oa:W3127751679,,Yongyi Lu,2,
oa:W3127751679,,Qihang Yu,3,
oa:W3127751679,,Xiangde Luo,4,
oa:W3127751679,,Ehsan Adeli,5,
oa:W3127751679,,Yan Wang,6,
oa:W3127751679,,Le Lü,7,
oa:W3127751679,,Alan Yuille,8,
oa:W3127751679,,Yuyin Zhou,9,
oa:W2980282514,,Thomas Wolf,1,
oa:W2980282514,,Lysandre Debut,2,
oa:W2980282514,,Victor Sanh,3,
oa:W2980282514,,Julien Chaumond,4,
oa:W2980282514,,Clément Delangue,5,
oa:W2980282514,,Anthony Moi,6,
oa:W2980282514,,Pierric Cistac,7,
